TwitterHandle,Date,TweetsAgo,Compound,Positive,Negative,Neutral,Tweet
BBC,2018-10-12 18:12:03+00:00,1,-0.6124,0.0,0.75,0.25,Forget the fake and the filtered... This Welsh artist posts illustrations of REAL women on Insta. https://t.co/oTwU6WlCo3
BBC,2018-10-12 16:05:08+00:00,2,0.4389,0.182,0.818,0.0,"Deep-fried Mars bars are wayyyy more complicated than you think! 😲 
#MonkmanAndSeagull https://t.co/ySvvRvVYYy"
BBC,2018-10-12 15:44:40+00:00,3,0.7579,0.228,0.772,0.0,RT @BBCOne: .@HarryConnickJR is such a big fan of @BTS_twt that he had to get a nearly selfie. (We love that @WhoopiGoldberg made it in to…
BBC,2018-10-12 15:25:04+00:00,4,0.0,0.0,1.0,0.0,"Leaving the office on a Friday like... 
#FridayFeeling https://t.co/PURrd1W0yz"
BBC,2018-10-12 14:43:35+00:00,5,-0.7096,0.0,0.815,0.185,RT @BBCWomansHour: 💛 Why I’m talking about child loss 💛 Elle Wright’s son Teddy died at 3 days old. She found people didn’t know what to sa…
BBC,2018-10-12 14:08:35+00:00,6,0.6114,0.174,0.826,0.0,"RT @BBCOne: That time @RealHughJackman impersonated Mary Berry - complete with ALL the innuendo.

Happy Birthday Hugh Jackman! 50 years old…"
BBC,2018-10-12 13:56:43+00:00,7,0.743,0.249,0.751,0.0,"Princess Eugenie opted for a wedding dress that showed her scar, saying she hoped it would honour those who had hel… https://t.co/2o5nW8ZSQp"
BBC,2018-10-12 13:04:05+00:00,8,-0.3818,0.0,0.894,0.106,"🐍 An elderly woman had the ""shock of her life"" when she found a 3ft (90cm) snake in her oven in Stockport.
👉… https://t.co/nELdK2acl6"
BBC,2018-10-12 12:04:05+00:00,9,0.4588,0.188,0.812,0.0,When you've got your sights set on your optician 😍 https://t.co/7qi3Xt61Qm
BBC,2018-10-12 11:42:59+00:00,10,0.5994,0.262,0.738,0.0,"RT @BBCNews: Congratulations Princess Eugenie and Jack Brooksbank  #RoyalWedding 👰🤵🎊

https://t.co/8V2vWFJ6RP https://t.co/lH61G1Kiod"
BBC,2018-10-12 11:03:05+00:00,11,0.0,0.0,1.0,0.0,"A dad’s campaign for changing tables in men's loos has gone viral, striking a chord with fathers across the world.… https://t.co/RwStjXbZ85"
BBC,2018-10-12 10:56:18+00:00,12,0.636,0.181,0.819,0.0,RT @BBCLookNorth: Katie's guide dog Domino loved her so much he learnt how to understand sign language! 🐶 https://t.co/tCknSl8mIc
BBC,2018-10-12 10:49:13+00:00,13,0.0,0.0,1.0,0.0,"The wedding of Princess Eugenie and Jack Brooksbank is taking place at St George's Chapel.

Take a look at some of… https://t.co/C9nc3FIlPN"
BBC,2018-10-12 10:47:24+00:00,14,0.7351,0.206,0.794,0.0,RT @bbcthree: When you've got a #RoyalWedding at 11 but Harry Potter has to catch you to win a Quidditch match at 2 https://t.co/U6uKx3dgct
BBC,2018-10-12 10:12:36+00:00,15,0.0,0.0,1.0,0.0,"RT @BBCNews: Princess Eugenie arrives at St George's Chapel, Windsor for her wedding to Jack Brooksbank #RoyalWedding

For live coverage -…"
BBC,2018-10-12 10:05:03+00:00,16,0.2263,0.114,0.806,0.081,"RT @BBCAfrica: ""A Muslim girl wouldn't do this."" 

After years of hiding her boxing from family &amp; friends, Ramla Ali is preparing to compet…"
BBC,2018-10-12 10:01:42+00:00,17,0.4767,0.119,0.881,0.0,RT @BBCNews: Cheers for the Queen and Duke of Edinburgh arriving at St George's Chapel for the marriage of Princess Eugenie and Jack Brooks…
